country,gold,silver,bronze,rank
Argentina,0,1,2,72
Armenia,0,2,2,69
Australia,17,7,22,6
Austria,1,1,5,53
Azerbaijan,0,3,4,67
Bahamas,2,0,0,42
Bahrain,0,1,0,77
Belarus,1,3,3,45
Belgium,3,1,3,29
Bermuda,1,0,0,63
Botswana,0,0,1,86
Brazil,7,6,8,12
Bulgaria,3,1,2,30
Burkina Faso,0,0,1,86
Canada,7,6,11,11
China,38,32,18,2
Chinese Taipei,2,4,6,34
Colombia,0,4,1,66
Croatia,3,3,2,26
Cuba,7,3,5,14
Czech Republic,4,4,3,18
C̫te d'Ivoire,0,0,1,86
Denmark,3,4,4,25
Dominican Republic,0,3,2,68
Ecuador,2,1,0,38
Egypt,1,1,4,54
Estonia,1,0,1,59
Ethiopia,1,1,2,56
Fiji,1,0,1,59
Finland,0,0,2,85
France,10,12,11,8
Georgia,2,5,1,33
Germany,10,11,16,9
Ghana,0,0,1,86
Great Britain,22,21,22,4
Greece,2,1,1,36
Grenada,0,0,1,86
Hong Kong,1,2,3,49
Hungary,6,7,7,15
India,1,2,4,48
Indonesia,1,1,3,55
Iran,3,2,2,27
Ireland,2,0,2,39
Israel,2,0,2,39
Italy,10,10,20,10
Jamaica,4,1,4,21
Japan,27,14,17,3
Jordan,0,1,1,74
Kazakhstan,0,0,8,83
Kenya,4,4,2,19
Kosovo,2,0,0,42
Kuwait,0,0,1,86
Kyrgyzstan,0,2,1,70
Latvia,1,0,1,59
Lithuania,0,1,0,77
Malaysia,0,1,1,74
Mexico,0,0,4,84
Moldova,0,0,1,86
Mongolia,0,1,3,71
Morocco,1,0,0,63
Namibia,0,1,0,77
Netherlands,10,12,14,7
New Zealand,7,6,7,13
Nigeria,0,1,1,74
North Macedonia,0,1,0,77
Norway,4,2,2,20
Philippines,1,2,1,50
Poland,4,5,5,17
Portugal,1,1,2,56
Puerto Rico,1,0,0,63
Qatar,2,0,1,41
ROC,20,28,23,5
Romania,1,3,0,46
San Marino,0,1,2,72
Saudi Arabia,0,1,0,77
Serbia,3,1,5,28
Slovakia,1,2,1,50
Slovenia,3,1,1,31
South Africa,1,2,0,52
South Korea,6,4,10,16
Spain,3,8,6,22
Sweden,3,6,0,23
Switzerland,3,4,6,24
Syria,0,0,1,86
Thailand,1,0,1,59
Tunisia,1,1,0,58
Turkey,2,2,9,35
Turkmenistan,0,1,0,77
Uganda,2,1,1,36
Ukraine,1,6,12,44
United States,39,41,33,1
Uzbekistan,3,0,2,32
Venezuela,1,3,0,46
